@relation "myrelation"
@attribute txt string
@attribute classatr {positive,negative,neutral}

@data'
'MarzhSultanbay @DanaTlegenova Марж не смотрелавот и интересно) столько говорилистыдно смотрет даже((', positive
'@AlexSem4 @Kirian4eg каких яблоках? ты о чем? ) PS мне западло на телефоне отключать выключение дисплея мне это нужно только в Ingress)', positive
'@AlexSem4 смотреть треки свои чужие назначать зоны сигнализации (когда кто либо из обозначенной зоны выходит алярм) ) и тп', positive
'@alexZZandraTS @pmikaelson Таки мы были в еврейском квартале щито не так D', positive
'@alexZZandraTS Печально D', positive
'@AlexSong20 дааааааааааааа D', positive
'@Alikhanushka так здорово ) поздравляю', positive
'@Alina97Vasileva какое место?)', positive
'@alinaheureuse не переживай родная Гребенюк не будут сильно сердится )', positive
'@AlinaLiKuper пффмузыкант слишком громко сказаноDя там по моему по ошибке вообщеD нам бы устроил кто нибудь  и когда тебе в школу?D', positive
'@AlinkiAlinki В Нск теперь тоже D', positive
'@anyadolmatova20 ноу D', positive
'@anyadolmatova20 я поддумаю D', positive
'@AnyaAnya2311 очень круто )', positive
'@AnGoncharov приветики ) как посевная? )', positive
'@ankolesnik да я вот тоже Вроде хочу спать но не хочу спать днем А если честно я вообще хочу продолжить D', positive
'@arianagranqe уже поел D', positive
'@arina098 блин я читать разучилась))) Вместо собственница читаю девствиница Хахахаха) )', positive
'@ArinaKhafizova ну ты пень !D', positive
'@arturfoto это карма D', positive
'@ashleysheerio Спасибо хорошо) Вот только каникулы закончились А у тебя? )', positive
'@askvid ну че за хуйня D', positive
'@assollia да тоже хорошо ) что у вас там новенького?', positive
'@asvo365 самое интересное что я согласилась D', positive
'@AverinMaxim Прекрасного дня!!! ) Творим вытворяем! )))) http//tco/lUi16UdLIT', positive
'@AverinMaxim Солнечного дня! Как настроение? ))))))))', positive
'@AverinMaxim удачи! )', positive
'@avetisdn капец Как теперь спать? )', positive
'@AVilyanova потом расскажу) после трени а то я опаздываю уже D', positive
'@avoning ммм вообщем ясно ну тогда начнём а точно забыл уточнить будем здесь или в личке??)', positive
'@avoning эммм мне то без разницыя извращюга ещё тот  главное чтобы тебе удобно было )', positive
'@AxeOnOff ожидаемый комментарий от тебя Но надеюсь что все же обойдется )', positive
'@ayhi1615 Бросай всё нахрен и возвращайся! Будем тебя няшить и мимимишить )', positive
'@bestmaryana то есть ты теперь постоянно собираешься на одном номере ездить? С каким тебе больше нравится  с задним или с передним? )', positive
'@Bibigulz ооой кто то обо мне помнит спасибо )', positive
'@BnSSciarin Я люблю тебя )', positive
'@Cocainenormal Да ладно он просто занимался дегустацией D', positive
'@ComedyClubRu Что то давно конкурсов небыло может сделаете?)#конкурсдня', positive
'@daasha88 я вчера сделал правильный выбор в потреблении алкогольных напитков )', positive
'@DanielKorotkov да потом выяснилось что все норм) видимо она о моей жизни в целом D', positive
'@DanilBelousov это же я ))', positive
'@DaraFromChaos Ну пока я мстить не собираюсь так что можешь расслабиться )', positive
'@daryabro Если бы в каждом подвальном окне сидел суфлер и подсказывал остроумные ответы (с) )', positive
'@Dekmabot комент позабавил от Хижины Дяди Тома до Барака Обамы )))', positive
'@Dekmabot Потому то их легким ветерком и сносит при первой возможности ) Как всё американское  фасад красивый а внутри пустышка', positive
'@elyasummer наличие маленьких размеров  это жирный плюс ) Загляну на днях Спасибо за пост!', positive
'@karkademusic точно ) хорошо я по кредитке прохожу в метро )', positive
'@KarpanovA эм ну літаральна гэта тытул Очень пріятно царь як у фільме было D а ў песні БН ёсць радок Што ж рабіць лянота  цар', positive
'@kashasavogstyle @sobaka рубашка мне нравится )', positive
'@Katanay ну сегоня в центре земля местами уже белая от пуха )', positive
'@KateBuchak что такое? )', positive
'@KateMuss а работать кто будет?)', positive
'@KateBro69 А ЧЕГО Ж ЭТО ДНИЩЕ??? Я НАОБОРОТ БЕЛАРУСЬ ЛЮБЛЮ3 ЭТО ХОРОШАЯ СТРАНА!)', positive
'@KateBro69 АХАХАХДАААОБЯЗАТЕЛЬНО!!!)  АГАСПАСИБО3 У НАС ТАК ТОЛЬКО ВЕСНОЙ ХОРОШОD ТЫ ОТКУДА?', positive
'@KateDW привет D', positive
'@kateromanova15 прямолинейный верблюд (неправильный) D', positive
'@KATRYNDREAMER ахах ага D  Спасибо )', positive
'@KATRYNDREAMER да) ну так учусь еще D', positive
'@KATRYNDREAMER наигралась на гитаре D', positive
'@KATRYNDREAMER тем более Like D', positive
'@KATRYNDREAMER я хочу записать когда научусь ) Просто сейчас как черновой вариант нужно барэ получше научится брать(', positive
'@KatuhaK НЕТ СПАСИБО ) Я НЕ СМОГУ К СОЖАЛЕНИЮ НО СПАСИБО ЗА ПРЕДЛОЖЕНИЕ!', positive
'@Katushaaaa ТЫ УВЕРЕНА?D', positive
'@katyaperek да главное что б мужу нравилось!)', positive
'@katymas270797 @chloegmoretz Приветствую))как дела?подковы поменяла?)', positive
'@katymas270797 @chloegmoretz сочные и сладенькие конфетки))ты намекаешь на надутые губки Хлои?)', positive
'@katymas270797 @chloegmoretz шучу шучу)что делаешь?)', positive
'@KazakovaOM доброго утра Ольга !!! )', positive
'@Keks8977 тогда тебя можно звать баба Оля)))', positive
'@KgK73 Спасибоочень люблю фонтаны!)', positive
'@khachatryaaan Как ты мог?! У меня теперь всю информатику Будым мы сейчас гулять налывать и выпываааатьD', positive
'@khidriev @axbaxsky а может он вообще с Химок едет )', positive
'@khidriev @axbaxsky а почему не на метро блин )', positive
'@khidriev @axbaxsky раменское это где раньше сатурн окольцовывался ? Там вряд ли ) мне кажется либо люберцы или мытыщи', positive
'@killemille великолепны желаю )', positive
'@killjoynow Да я уже третий урок на грядках У нас тут вообще пол школы не пришло D', positive
'@killjoynow Я хорошо я тут на уличке прохлаждаюсь^^ Ты держись там D', positive
'@killmedurov @pirupirupipiru ахахахахах) D', positive
'@kimheeelf старый извращенец D', positive
'@kimjonghyun77 я от силы знаю человек пять D', positive
'@Kirian4eg не дает гаснуть дисплею про TARGET можно забыть ) в режиме бездействия глушит подсветку но приложение активно все равно', positive
'@kirlim здается мне что в этом бизнесклассе не кормят )', positive
'@kisskaaaaaa лох D', positive
'@KIV3636 какого *уя?D', positive
'@kmedvedev0195 о как ничего себе )', positive
'@KoraRadiak эммм ну это решайте самино есть я точно не хочу D', positive
'@KormilitsinA @PollyBogdanova ооо мне бы тоже свою Полину под боком что бы заставила бегать )', positive
'@korotenko94 А как вы можете командовать ими? Если сами пиздюки!) А кто поедет с тобой?', positive
'@korotenko94 Типо насяльника будете?)', positive
'@KoteechkaAnn мне просто замечательно снился конец света классный сон хочу сказать D а тебе? с', positive
'@kovrishka09 оу Ясноникогда бы на подумала)', positive
'@kprutsskova ) Поздравляю! И очень хорошо понимаю) Уже много лет переживаю подобное каждое 8 августа) Рада что Москва приняла нас)))', positive
'@krabsulyalol @konovalova1999l ахаха ага  ЛЕВАЯ НОГА D', positive
'@kristiJuice ненавижу этот день Ненавижу D', positive
'@KristKozlova все изза бурной ночи  D', positive
'@ksenianiganiga ну в школе ты была только?D', positive
'@ksu0302  Добрый вечер Оксаночка) http//tco/gPchBsiwB1', positive
'@ksu0302 Оксаночка скоро и у Вас будет тепло поверьте мне)) http//tco/OdRyAXkF3m', positive
'@ksyushahoran @niallofficial половину оставишь D', positive
'@ksyushahoran @niallofficial хочу Нааааааааайла D', positive
'@KTihomir школьные будни сводят всех с ума D', positive
'@kuklakris777 да ужс просто D', positive
'@KyoyaEl @LinaBlaur О Значит все правильно понялаD', positive
'@l8bl8chocolate В Алтайском крае D', positive
'@l8bl8chocolate хахахахах ващеее я просто счастлив D http//tco/bLN3ZAWP7d', positive
'@ladycatherine7 так вот этого не надо!! ))', positive
'@LadyPolly круто мы билеты учим D', positive
'@ladykatusti настоящую бутылку мы выпили без тебя увы а кошку в машине мне Матвей бы не простил )', positive
'@lamagrad догоним и перегоним америкосов !  ) по стрельбе в людей на улицах', positive
'@lamapresley удачной сдачи тебе )', positive
'@lambertulya с октября 2011 )', positive
'@lanawow Бобрее не бывает D', positive
'@landish1997Когда переедет?)', positive
'@LazyDesty я как в Ростове хожу ) только в платке  потому что холодина а у меня отиты постоянно((', positive
'@LenaChi красивая )', positive
'@LenaIgnatkina Из Киева))) Доброе утро радостного дня!!!))) @FriendIr17', positive
'@LenaIgnatkina Я тоже очень скучаю Да с сегодняшнего дня на канале Украина опять будут гонять любимого Глухаря))))))) @FriendIr17', positive
'@Lenaumka Хорошо позвоню но предварительно сегодня нужно 7 роз даме ЗаБальзаковского ) возраста', positive
'@Lensev капсом и с удивлением D', positive
'@Lera94479317 cнег????D у нас нет)', positive
'@leraMaxMax 18 рубасов на бочку детка!!!D', positive
'@LevAlex55 Не слушала долго и целенаправленно Конечно я знаю что это за радио и кто такой Козырев )', positive
'@Leysanlubimka @timkanie а лето уже было Но я в тот день работал )', positive
'@Lgerd 11 часов? ты случаем не в соляных шахтах работаешь? )', positive
'@LiberMaxim ну ладно снобизм но свло?) садизм?)', positive
'@lifeinmyfun завтра причаливаю в 10 после учебы и работы буду дома! меня можно теперь не кормить я привыкла D', positive
'@LightGenny клешня ) http//tco/UIXE0FoHf3', positive
'@LikeSluttyBoy ахах D у Вас так много всего в телефоне?)) ну количество музыки я видел ^^', positive
'@LikeSluttyBoy вот и я так думаю ^^волнуется значит любит D', positive
'@LikeSluttyBoy нуя представлял что на улице D', positive
'@LilithStark а ну это другое дело хах )', positive
'@LinaBlaur @olyarossarch ахахаха D заебали видимо)', positive
'@LinaBlaur ДА!!!D', positive
'@luuffukka это точно )', positive
'@Lyudochkaaaaa ага сначала в папу а потом в саб) а потом можно в кабуки ненадолго сходить) и в конце в барсуке потусить D', positive
'@lamethystl ну или минимум обиделась на всю оставшуюся жизнь D', positive
'@lamethystl нуато х) вообще меня давно в школе прозвали Карина добрая душа D после тогокак я грозилась сломать башку однокласснику хд', positive
'@lamethystl я уж поняла D жаль что если бы я такое написала своей маман то она бы меня повесила хд', positive
'@maargaaareet страдаешь изза шлюхнаркомановстриптизершалкашейдибиловвшивых ? D', positive
'@madverka Правда там только PDF )', positive
'@madverka Я знаю только их приложение для покупок Для чтения кажется нет )', positive
'@MagicSalamandra нет еще посмотрю чуть попозже )', positive
'@MagnumSPb Горшок  прикольное название для карты )) @vovka307 @bankrs', positive
'@maksimmaier а что мне веселится? Мы едем со школой за город и никто не хочет со мной петь( D суки', positive
'@malininaaa1 курочка )', positive
'@malininaaa1 на улице захочешь зайтизайдёшь )', positive
'@Mallinnaa Окей D', positive
'@MANANDWOMAN2 @renar187 самый понедельничий понедельник )))', positive
'@maratovnad могла бы посмотреть на время и понять что твит был написан раньше причем ещё на обж )', positive
'@mardgera она божественна!!)', positive
'@Margoshvilli аааа у тебя бесподобный аватар! D', positive
'@MariaVettel это все он Я уверена Маг хренов )', positive
'@Marieohyeah я в этом не уверен D', positive
'@MarinaClapp69 ахахаха боже D', positive
'@MariPerrie а я сегодня дома сижу D', positive
'@MariyaBalance завтра выходной )', positive
'@Marusya569 ) я тоже не умею', positive
'@MaryAzanova Я после 4 урока свалила D', positive
'@marymalik69 ну в смысле очень долго спала D', positive
'@MaryoooMary а мы за 700 урвали D Кстати там у них билетик разыгрывается Репостни может выиграешь)', positive
'@mashadrokova Отходит )', positive
'@mashadrokova ты как Керри Брэдшоу )', positive
'@MashaIvasha Возможно Время и место ))', positive
'@Masljakov не то слово D', positive
'@maslovaaayana сдадите не парьтесь ))', positive
'@MatvienkoCawa Саш  я с тобой не хочу говорить о этом )', positive
'@maxbryansk @paniwalewska @romantsy по твоей логике для пущей #стабильность лучше всего полстраны расстрелять а оставшихся  посадить )', positive
'@maxbryansk @Trinadzataya да там и разбираться нечего ) главное с хорошим сроком годности', positive
'@maxbryansk @VBoyarovsky не забудь добавить  в жопу!  ) ну так чисто конкретизировать цель для вперде =', positive
'@maxbryansk своих поднимать надо )', positive
'@maxbryansk там 200 голов на 1400 квадратов не? Точно говорю это ангар для 200 китайцев собирающих модельки самолетиков  )', positive
'@maxbryansk это вообще размер небольшого бц или склада )', positive
'@maximdiachenko  ну його нахуй тих ваших алгебричек D', positive
'@MaXodosova @themalibu спасибо! )', positive
'@maymayanya обижаешьобижаешь D http//tco/1ONUSx02Pe', positive
'@mamimar они все так говорят ) а я считаю правильно', positive
'@MBLAQobsession омммм D', positive
'@meeeooooooww ахаха мучаюсь в школеты что ахах?D', positive
'@meeeooooooww ахаха я в школе мучаюсь ты что?D', positive
'@mekanizumu ты заставил меня гуглить http//tco/XaldAHm8oQ оказывается я убийца романтики )', positive
'@meleshinan Runkeeper или Strava или Endomondo — вот где диллема )', positive
'@MihailRain ты так не пугай )', positive
'@Miho7 замахнулись на международные рынки? D', positive
'@MikhailBezrukov думаешь с правами было бы круче?)', positive
'@MikuKerimova у меня все заебок D скоро свалю с', positive
'@miladyalice мррр ) но слава богу есть друзья © люблю вас ) хорошего тебе дня', positive
'@MilaMann уникальное здание там продуктовый магазин театр и мед лаборатория )))', positive
'@MilanaZhirkova ) спасибо большое!', positive
'@milena039 я знаю Человеку который не умеет плавать произносить это слово вообще не рекомендуется))', positive
'@minthelga конечно )', positive
'@mirex05 примазался )', positive
'@MironovDS хорошо ))', positive
'@mirrorsbreath как вы всё еще не выписались? )', positive
'@MissHoran5 ахахахахах в какую часть играешь? )', positive
'@MisterSKEPTIC @gAmUssA на днях опубликует Мы так увлеклись что даже 2 вопроса не обсудили )', positive
'@MixPodazrevaka ок )', positive
'@MMetaphors дресскод не был оговорен во входных данных ) Тогда я хз у меня дресскода нет =\\', positive
'@mmmdonuts на окно поставила радует меня теперь! А многолистников не искала еще )', positive
'@Mogekan может Овечкин приедет )', positive
'@Monatiiique   Дима! Очень нравиться Ваше творчество! Вы талантливы во всем!  А и это видео  интрига )))  http//tco/WoFO4SD3a5', positive
'@MorEdel обиделся мб )', positive
'@morionykt присоединяюсь ко всем словам ждем вечером на ужин и не смей говорить что ты на диете! )', positive
'@morisamay удачи тебе там ненавижу больницы) а я уже выхожу прогуливала ))', positive
'@morisamay это самообман просто я себе так говорила все 11 лет мотивация че )', positive
'@morsyaa и сонный )', positive
'@msavatieieva и где вы заражаете?)', positive
'@MusAsya думаю у тебя переходное состояние из прозрачной девочки в фитнес герл )', positive
'@MyDaringDream Хооорош )  а выше залезали? или там уже каюк леснице?', positive
'@MlleBarankina @lasalenas Все мы знаем что так и будет )', positive
'@Myulia это превосходнотакое кино по мне )', positive
'@naaadya713 С ДНЮХОЙ ЛЮБИМАЯ! ЦЕЛУЮ ОБНИМАЮ ) *', positive
'@NadinAbr базара нет D', positive
'@Nadby нормэтопонашему D', positive
'@NagareBoshi15 Ноуп 3 Кто ж виноват?  D', positive
'@NaleVivian @RitaShelnova ну я про закрытость и ртутный завод Про марганцевый и так все понятно )', positive
'@naranofficial в Норильске моем(сибирь) тоже есть явление полярный деньсейчас уже и все летовсегда светло )', positive
'@nastaysi @YVZakharova Здравствуйтемои дорогие!))) Наши бедные детки уже так усталичто их надо просто оставить в покое)', positive
'@nastenaorlov awwспасибо D', positive
'@nastenaorlov окей D', positive
'@nastiamachine весеннее пробуждение )', positive
'@Nastjablack нет на это даже хлеб нельзя купить D тут около 5 рублей с копейками на наши)', positive
'@NastyaBoikova1 @ValeriaBirkgeym я еще весь немецкий сегодня над ними ржала )', positive
'@NastyaKozyreva Афигеть)) круто!', positive
'@nastyam1402 а мне вот сегодня Тор с Локи снились уверена что твои сны сравнятся? P', positive
'@nastyamalfoy С Днем Рождения! Желаю тебе всего самого лучшего в жизни! Оставайся таким же позитивным и талантливым человеком!)', positive
'@NatalyaPolyatsk @ElenaBaturyna скучно без них  ) в твитте', positive
'@Natashkoooy пндшная ты чтоли?D', positive
'@navalny Эта фотография взорвет информационное поле Я так думаю )', positive
'@nellyhh Ой а вот этот труба секс ) красавчик и вообще мирфшрфмирйдис xD', positive
'@NEMolinero мне тож жалко )', positive
'@NEMolinero неееее ))) хотела но не получилось', positive
'@Nettie3 я так понимаю на философии мы не встретимся D', positive
'@neverfind4 йо D', positive
'@Ni4iporkoff накормлю! и фокус даже покажу! ещё сильнее чем вчера! )', positive
'@Ni4kaShchiglik реал тупая ))', positive
'@NiallJamesMeow ахаха D', positive
'@NiallJamesMeow ахаха ну да меня спрашивали я решил копернуть это лол D', positive
'@NiallJamesMeow не за что )', positive
'@Nickypff СЖЕЧЬ ВЕДЬМУ! D', positive
'@NikitaOdintsov спасибо )))) и Вам улыбчивой плодотворной недели!!!', positive
'@nikivikii не грузись ебанутые везде не ругайся на них над ними уже природа повеселилась )', positive
'@NikoDrogaytsev Придираешься! )', positive
'@NikolArtemovna а я уже на улице !!! p', positive
'@nikolenkokd ) Чтото мне подсказывает что Филиппову проще будет найти язык с независимыми депутатами', positive
'@ninatakisima обычно Ямада на месте повышеа тут ЧиненD', positive
'@Nitravkin ))) это что за эксперт такой? Имя? Не Сердюков ли случаем?', positive
'@noisingaa оооой глупышка ) соскучилась яеще как * а про рожи я расскажу ) это касается общаги и колледж', positive
'@NomintsetsegM эртхэн нэг татцан нь дээр харавснаас ?нэрт??лсэн нь дээр биз дээ )', positive
'@nuke73 радуйся что у вас снега нет D', positive
'@nurain оу удачи )', positive
'@nyamkaaaaaa Гэхдээ л гоё сонирхолтой л байдаг байсышд ))) За тэр ?нэг?й мессэж бол буур найс )))))', positive
'@nyamkaaaaaa Технологийн х?гжил?? гэж Интернэт кафед л м?нг? т?лж суудаг байлаа ш?? дээ ))))', positive
'@nyamkaaaaaa ч?тг?р гоймонд дурлав )))', positive
'@nyamkaaaaaa шууд тусаж байнаа гэдэг чинь Би ер нь д?х??лцэн юм биш?? айн?   )))) маазарч байхад блок млок хийчвээ', positive
'@nyamkaaaaaa Яадын би лав бичнээ цуссс )))))', positive
'@nyamkaaaaaa Яг архи гэж уншихжийшд Нээх сайхан хуушуур идэх юмсан )))', positive
'@nalexeyev ) А переделывать что конкретно? Если не отвлекаю любопытно просто', positive
'@nbaryshev @Cocaindeluxe Пропуск с 9 мая проканает? )', positive
'@nbaryshev это где это ты там ходил?)', positive
'@OdRusl а если gbp usd дойдёт до целей значит виноват? )', positive
'@ogamanik Ааа твоя логика мне понятна)', positive
'@okaleri ниндзя D', positive
'@OksanaAs 10 мая тоже так подумал )', positive
'@Ole4ka79 только так можно иметь хороший и интересный твиттер )', positive
'@olegcheb Ох уж эти колючки! Как с ними бороться непонятно! )', positive
'@Olesya2701 это тооочно D', positive
'@OlesyaShtanko ) как утречко началось?', positive
'@OlgaVysozkaya хехе спасибо ивановО ) у нас кстати тепло Больше 20 каждый день', positive
'@olyarossarch этому радоваться надо или печалиться? D', positive
'@Onegai Не скажу! А то она загордится!)', positive
'@Onegai Я знаю о ком ты!) Но уверен что дело не в гордыне а в отсутствии времени на общение в тви  это очень хороший человек и друг!', positive
'@onething69 ПРИВЕТИК)КОНЕШНО )', positive
'@onething69 ТАНЦАМИ ) А ТЫ?)', positive
'@onlyminen @Enkhzul01 залуус гэсэн ))', positive
'@OpashnVovop @ElenaBaturyna Гипгип Ура! ))', positive
'@orangenatka у меня все планы на майндмэпы похожи )) спасибо тебе дорогая!', positive
'@Ostapenko я сказала это про твои босоножки )', positive
'@outandouter ну D', positive
'@OVeresova Это вы с утра надышаться работой не могли )))', positive
'@paaxpaxx я тебе вконтакте напишу такая смешная история получилась D', positive
'@pagucm ржу например )))', positive
'@Pammie2014 что? серьезно? теперь я еще больше хочу туда D', positive
'@parilove что нового?) забрал очки?', positive
'@pasha19962013 @chloegmoretz как думаешь что делает Хлоя?)', positive
'@PassionfruitNY ахаха )', positive
'@PavelGurin Слишком смелое и поверхностное заявление В любом случае Samsung ещё придётся утвердить новый стандарт Пусть ищут партнёров )', positive
'@Paznjak скорее всего Одесса но все зависит от обстоятельств )', positive
'@Paznjak собирается )', positive
'@pcholkass КИНЕШЬ СПЕЦИАЛЬНО ДЛЯ МЕНЯ D', positive
'@peregudova99 что ты мне привезла?))', positive
'@peretyatkom ну конечно)', positive
'@Perfectlena Он заставляет противников морщиться сужая их обзор Правда при борьбе с азиатами его способность может не сработать )', positive
'@PirozhokKatya ахаха в чем это заключается?D', positive
'@PlusheviyKot както в 2005 году мы слушали прекрасный сборник в котором была Baby yes baby no от Supersonic Future а есть весь? )', positive
'@PodrugaD @alexeyenko тут я должен ввернуть чтото типа  меня трудно найти но легко потерять! )', positive
'@polchezzz спокойно бы все сделала !) мы всегда так !', positive
'@PolinaKolt какое еще трололо cest galanterie! )', positive
'@PolinaKolt куда еще нормальнее! прекрасный же размер )', positive
'@polinkinl не в ту сторону ехала )', positive
'@PollyBogdanova ахах ))) хорошее настроение в понедельник с утра  это значит вся неделя пройдет неплохо ))))', positive
'@PollyBogdanova еееее!!! С добрым утречком !!!)))', positive
'@PolnoeKovarstvo люблю этот клип D', positive
'@PoltoraIvana палишься )', positive
'@ponomrak я уже хотела написать что не верю D но увидела фотку и поняла что ошиблась', positive
'@pozdnjak @OvsjankaSir блудливая калифорния тоже норм )', positive
'@pozhalujnet я думаю в этом случае не так барышня вероятнее всего рядом идет )', positive
'@PrePersik ды ) и везде херь', positive
'@prohorya ахахаха )', positive
'@pranny не без этого )', positive
'@PssLevl @HardEssence ) Заблудился слегка зато теперь видно что хоть ктото винилы покупает )', positive
'@pupsike У нас тоже не могут найти журнал D', positive
'@RadioLDF Пока подготовлю плейлист с новыми песнями ) Каждый день с 1600 по мск времени! Приходите! http//tco/SZb2e3es5Y', positive
'@radiostart У Диявола много имен Люцифер Сатана Вельзивул Понедельник )', positive
'@radostno0108 А я смотрю ты вчера отожгла все таки )', positive
'@raguzin купон в личке ) проверяйте!', positive
'@rajcapoor Тут не распишешься) Роммель и пр были такими же козлами Они просто облажались потому их Гитлер и угробил', positive
'@Rammed знакомая очередь на границе бля я вам завидую чорной завистью так хочу снова в европашку на машине ты бы знал )', positive
'@rapidcat Ой спасибо большое!)))', positive
'@rassadnikzla не понимаю такие посты ) я вот Модный приговор смотрю и мне ни разу не стыдно', positive
'@rassadnikzla хаха ) о ещё я зарегистрирована на fashionyru D я видимо должна попасть в ад для ТП ))', positive
'@realmodest кстати как у тебя обстоят дела с похудением? )', positive
'@reginanekrasova Ну да представляю)', positive
'@Renatasovaa удачи Рената )  В Художке P', positive
'@Renyshka ээ сеп )', positive
'@rehikari твёрдый знак в первом сообщении меня не спалил? )', positive
'@RikaOrgazm У меня все типтопкаблучкимакияж(тупорылая реклама) D Ну с близкими же надо быть тожевот у тебя Димка рядышком))Ты как?))', positive
'@RitaMoloko  лол в диве хотела сегодня такие купить D', positive
'@RitaShelnova это ложь )', positive
'@Rokkeet ДАДАДАДА ЗАВЕДИ!D', positive
'@RomanovaMari Я ТОООЖЕ СКУЧАЮ з НАСТУПИТ ЛЕТО И Я БУДУ ЗДЕСЬ ОЛ ДЭЙ ЭНД ОЛ НАЙТ!!!! НАОБЩАААЕМСЯ * НЕ ПЕРЕЖИВАЙ )', positive
'@romantsy @maxbryansk @paniwalewska агарукавички шить или форму для господ полицейских ) Рентабельность такого производства отрицательная', positive
'@romantsy @maxbryansk @paniwalewska но это фигня главное  чтоб сидели! )', positive
'@romantsy @paniwalewska @maxbryansk Это не попацански! Зачем тогда жулье и ворье в ведро вступало бабки платило? Нестабильненько это! )', positive
'@RomanukRoma не гони ты меня твитами радуешь D', positive
'@Romanych77 Это точно Скоро уже ))', positive
'@RomkaGold димону привет )', positive
'@RTyuka сколько еще осталось ? ))', positive
