@relation "myrelation"
@attribute feat string
@attribute lemma string
@attribute link string
@attribute sms string
@attribute classatr {positive,negative,neutral}
@data
'S МН ЖЕН ИМ НЕОД', 'КОРОНА', 'разъяснит', 'короны', positive
'CONJ', 'И', 'сочин', 'и', positive
'S ЕД МУЖ РОД НЕОД', 'СЕРТИФИКАТ', 'соч-союзн', 'сертификата', positive
'NUM', '79263639368', 'соч-союзн', '79263639368', positive
'NID', 'ВАТСАП', 'квазиагент', 'ватсап', positive
'NUM', '89248620059', 'сравнит', '89248620059', positive
'A КР МН', 'ЗВОНКИЙ', 'сент-соч', 'звонки', positive
'S МН ИМ ОД', 'МЫ', 'fictit', 'Мы', positive
'PART', 'ТОЖЕ', 'огранич', 'тоже', positive
'V НЕСОВ ИЗЪЯВ ПРОШ МН', 'ОТМЕЧАТЬ', 'fictit', 'отмечали', positive
'PART', 'И', 'огранич', 'и', positive
'V НЕСОВ ДЕЕПР НЕПРОШ', 'СУДИТЬ', 'обст', 'судя', positive
'PR', 'ПО', '2-компл', 'по', positive
'S ЕД СРЕД ДАТ НЕОД', 'КОЛИЧЕСТВО', 'предл', 'количеству', positive
'V СОВ СТРАД ПРИЧ ПРОШ ЕД МУЖ РОД', 'ВЫПИВАТЬ', 'опред', 'выпитого', positive
'PR', 'ЗА', 'обст', 'за', positive
'A ЕД СРЕД ВИН', 'ТВОЙ', 'опред', 'твое', positive
'S ЕД СРЕД ВИН НЕОД', 'ЗДОРОВЬЕ', 'предл', 'здоровье', positive
'S ЕД МУЖ РОД НЕОД', 'АЛКОГОЛЬ', 'квазиагент', 'алкоголя', positive
'S ЕД МУЖ ИМ ОД', 'ТЫ', 'предик', 'ты', positive
'ADV', 'ВООБЩЕ', 'огранич', 'вообще', positive
'V НЕСОВ ИНФ', 'БОЛЕТЬ', 'аналит', 'болеть', positive
'ADV', 'НИКОГДА', 'обст', 'никогда', positive
'PART', 'НЕ', 'огранич', 'не', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 2-Л', 'БЫТЬ', 'сент-соч', 'будешь', positive
'PR', 'К', 'fictit', 'К', positive
'S ЕД МУЖ ДАТ ОД', 'ШО', '', 'шо', positive
'NID', 'МЕНI', 'атриб', 'менi', positive
'NID', 'РОБИТИ', 'аппоз', 'робити', positive
'NID', 'ПРИКИНСЯ', 'аппоз', 'прикинся', positive
'S ЕД МУЖ ТВОР НЕОД', 'ДОМКРАТ', 'разъяснит', 'домкратом', positive
'NID', 'D', 'аппоз', 'D', positive
'NID', 'GHRYN', 'аппоз', 'Ghryn', positive
'S', '&', 'аппоз', '&', positive
'NID', 'EVSTАF', 'композ', 'Evstаf', positive
'S МН ИМ ОД', 'МЫ', 'предик', 'Мы', positive
'PART', 'БЫ', 'аналит', 'бы', positive
'PR', 'С', 'обст', 'с', positive
'S МН ТВОР ОД', 'ВЫ', 'предл', 'вами', positive
'V СОВ ИЗЪЯВ ПРОШ МН', 'ПОСОРЕВНОВАТЬСЯ', 'разъяснит', 'посоревновались', positive
'S ЕД ЖЕН ИМ ОД', 'ЕЛЕНА', 'разъяснит', 'Елена', positive
'S ЕД ЖЕН ИМ ОД', 'КИРОВНА', 'аппоз', 'Кировна', positive
'S ЕД МУЖ ИМ НЕОД', 'СЮРПРИЗ', 'примыкат', 'Сюрприз', positive
'PR', 'ПРО', 'атриб', 'про', positive
'S ЕД МУЖ ВИН ОД', 'СЕБЯ', 'предл', 'себя', positive
'S МН ИМ ОД', 'МЫ', 'разъяснит', 'Мы', positive
'PART', 'БЫ', 'fictit', 'бы', positive
'PR', 'С', '1-компл', 'с', positive
'S МН ТВОР ОД', 'ВЫ', 'предл', 'вами', positive
'NID', 'ТОООЖЕЕЕ', 'аппоз', 'тооожеее', positive
'NID', 'D', 'аппоз', 'D', positive
'NID', 'АШИГ', 'аппоз', 'Ашиг', positive
'NID', 'СОНИРХОЛЫН', 'аппоз', 'сонирхолын', positive
'S ЕД МУЖ РОД ОД', 'З', 'атриб', 'з', positive
'NID', 'РЧЛИЙН', 'аппоз', 'рчлийн', positive
'NID', 'ТУХАЙ', 'аппоз', 'тухай', positive
'NID', 'ХУУЛЬ', 'аппоз', 'хууль', positive
'NID', 'ГЭЖ', 'аппоз', 'гэж', positive
'NID', 'ЮУ', 'аппоз', 'юу', positive
'NID', 'ГЭСЭН', 'аппоз', 'гэсэн', positive
'S ЕД МУЖ РОД НЕОД', 'ГРАММ', 'атриб', 'г', positive
'NID', 'ЮМ', 'квазиагент', 'юм', positive
'NID', 'БЭ', 'аппоз', 'бэ', positive
'S', 'Г', 'аппоз', 'Г', positive
'NID', 'ЙЭЭ', 'аппоз', 'йээ', positive
'NID', 'ЯАХАВДЭЭ', 'аппоз', 'яахавдээ', positive
'S', 'Х', 'аппоз', 'Х', positive
'NID', 'НИЙ', 'аппоз', 'ний', positive
'NID', 'НОХОЙ', 'аппоз', 'нохой', positive
'NID', 'ИДХЭЭР', 'аппоз', 'идхээр', positive
'NID', 'РИЙН', 'аппоз', 'рийн', positive
'NID', 'НОХОЙ', 'аппоз', 'нохой', positive
'NID', 'ИДЭЭ', 'аппоз', 'идээ', positive
'S ЕД МУЖ РОД НЕОД', 'ЛИТР', 'атриб', 'л', positive
'NID', 'ГЖ', 'квазиагент', 'гж', positive
'NID', 'БАЙГААН', 'аппоз', 'байгаан', positive
'PR', 'БЕЗ', 'вводн', 'Без', positive
'S ЕД ЖЕН ИМ НЕОД', 'ЙЕНА', 'fictit', 'йена', positive
'NID', 'ГЕКСЕН', 'аппоз', 'гексен', positive
'PART', 'НЕ', 'огранич', 'не', positive
'NID', 'ГЕКСЕН', 'аппоз', 'гексен', positive
'NID', 'D', 'аппоз', 'D', positive
'S ЕД МУЖ ИМ НЕОД', 'РАДИУС', 'предик', 'РАДИУС', positive
'A КР ЕД МУЖ', 'ПЕРПЕНДИКУЛЯРНЫЙ', '', 'ПЕРПЕНДИКУЛЯРЕН', positive
'S ЕД ЖЕН ДАТ НЕОД', 'КАСАТЕЛЬНАЯ', '1-компл', 'КАСАТЕЛЬНОЙ', positive
'S МН МУЖ ИМ ОД', 'РЕБЕНОК', 'об-аппоз', 'ДЕТИ', positive
'S МН ИМ ОД', 'ВЫ', 'предик', 'ВЫ', positive
'V СОВ ИЗЪЯВ НЕПРОШ МН 2-Л', 'ЗАПОМИНАТЬ', 'сочин', 'ЗАПОМНИТЕ', positive
'S ЕД СРЕД ВИН НЕОД', 'ЭТО', '1-компл', 'ЭТО', positive
'CONJ', 'ИЛИ', 'сочин', 'ИЛИ', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 3-Л', 'НЕТ', 'соч-союзн', 'НЕТ', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 3-Л', 'НЕТ', 'кратн', 'Нет', positive
'CONJ', 'ПОТОМУ ЧТО', 'обст', 'потому что', positive
'S МН ИМ ОД', 'МЫ', 'предик', 'мы', positive
'A МН ИМ', 'ТУПОЙ', 'подч-союзн', 'тупые', positive
'NUM', '2', 'количест', '2', positive
'S ЕД МУЖ РОД НЕОД', 'РАЗ', 'сент-соч', 'раза', positive
'NID', 'ПЕРЕСМАТРЕЛА', 'аппоз', 'пересматрела', positive
'ADV', 'ВЧЕРА', 'обст', 'вчера', positive
'CONJ', 'И', 'сочин', 'и', positive
'ADV', 'СЕГОДНЯ', 'обст', 'сегодня', positive
'S ЕД МУЖ ИМ НЕОД', 'ФИЛЬМ', 'предик', 'фильм', positive
'ADV', 'ОЧЕНЬ', 'соч-союзн', 'очень', positive
'A ЕД МУЖ ИМ', 'КЛАССНЫЙ', 'предик', 'классный', positive
'S', '<', 'fictit', '<', positive
'NUM', '33333333', 'fictit', '33333333', positive
'NUM', '3', 'fictit', '3', positive
'S', '5G', 'fictit', '5G', positive
'NID', 'БЭЛГИЙН', 'атриб', 'бэлгийн', positive
'NID', 'БАГЦААР', 'аппоз', 'багцаар', positive
'S', '10МИН', 'аппоз', '10мин', positive
'NID', 'ЖИРГЭЭ', 'аппоз', 'жиргээ', positive
'NID', 'УНШЛАА', 'аппоз', 'уншлаа', positive
'S', '5ТИКЛАССНИЦЫ', 'fictit', '5тиклассницы', positive
'PR', 'У', 'обст', 'у', positive
'S МН РОД ОД', 'МЫ', 'предл', 'нас', positive
'S ЕД СРЕД ДАТ НЕОД', 'СОЛЬФЕДЖИО', 'дат-субъект', 'сольфеджио', positive
'PR', 'У', 'атриб', 'у', positive
'S', 'THEПУЗА', 'предл', 'theПуза', positive
'S МН ИМ ОД', 'МЫ', 'предик', 'мы', positive
'A ЕД СРЕД ВИН', 'ЭТОТ', 'опред', 'это', positive
'S ЕД СРЕД ВИН НЕОД', 'ПРОЗВИЩЕ', '1-компл', 'прозвище', positive
'S МН МУЖ РОД НЕОД', 'ГОД', 'атриб', 'лет', positive
'NUM', '7', 'нум-аппоз', '7', positive
'PR', 'НАЗАД', 'обст', 'назад', positive
'V СОВ ИЗЪЯВ ПРОШ МН', 'ПРИДУМЫВАТЬ', 'разъяснит', 'придумали', positive
'S МН ИМ ОД', 'ОНИ', 'предик', 'они', positive
'A МН ИМ', 'САМ', 'опред', 'сами', positive
'V СОВ ИЗЪЯВ ПРОШ МН', 'ДОДУМЫВАТЬСЯ', 'разъяснит', 'додумались', positive
'CONJ', 'ИЛИ', 'сочин', 'или', positive
'S ЕД СРЕД ИМ НЕОД', 'ЭТО', 'предик', 'это', positive
'PR', 'ЧЕРЕЗ', 'обст', 'через', positive
'S МН СРЕД ВИН НЕОД', 'ПОКОЛЕНИЕ', 'предл', 'поколения', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 3-Л', 'ПЕРЕДАВАТЬСЯ', 'соч-союзн', 'передается', positive
'NID', 'D', '1-компл', 'D', positive
'NUM', '777', 'обст', '777', positive
'NID', 'ТВИТ', 'квазиагент', 'твит', positive
'PR', 'ДЛЯ', 'обст', 'для', positive
'S', '@OZIK49', 'разъяснит', '@ozik49', positive
'S', '@U_YOOO', 'аппоз', '@u_yooo', positive
'S', '@NADYATRATATA', 'аппоз', '@NadyaTratata', positive
'S', '@I__RACCOON', 'аппоз', '@i__raccoon', positive
'S МН ЖЕН РОД НЕОД', 'УЛЫБКА', 'fictit', 'улыбок', positive
'S МН ДАТ ОД', 'ВЫ', 'дат-сент', 'вам', positive
'S ЕД ЖЕН ИМ ОД', 'ОНА', 'предик', 'она', positive
'NID', 'КРУТАЯЯ', 'аппоз', 'крутаяя', positive
'ADV', 'ЖАЛКО', 'обст', 'Жалко', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ ЕД 3-Л', 'ЖИТЬ', 'разъяснит', 'живет', positive
'PR', 'В', '1-компл', 'в', positive
'NID', 'СИБЕ', 'предл', 'сибе', positive
'NID', 'D', 'предик', 'D', positive
'ADV', 'НАКОНЕЦ', 'вводн', 'наконец', positive
'S ЕД СРЕД ИМ НЕОД', 'ТО', 'предик', 'то', positive
'S ЕД МУЖ ИМ ОД', 'ОН', 'предик', 'он', positive
'V СОВ ИЗЪЯВ ПРОШ ЕД МУЖ', 'ПОПАДАТЬ', 'примыкат', 'попал', positive
'PR', 'В', '2-компл', 'в', positive
'A МН ИМ', 'МОЙ', 'опред', 'мои', positive
'S МН ЖЕН ИМ НЕОД', 'РУКА', 'fictit', 'руки', positive
'NID', 'HTTP', 'fictit', 'http', positive
'S', 'T.CO', 'аппоз', 't.co', positive
'S', 'QXYC1NTZZO', 'аппоз', 'qXYC1NtZZo', positive
'S МН ИМ ОД', 'ВЫ', 'предик', 'вы', positive
'NID', 'СЛЫШЫЛИ', 'аппоз', 'слышыли', positive
'V НЕСОВ ИЗЪЯВ ПРОШ МН', 'СЛЫШАТЬ', '', 'слышали', positive
'PART', 'НЕТ', 'fictit', 'нет', positive
'A ЕД ЖЕН ИМ', 'ОК-ПОРЯДК', 'предик', '-я', positive
'V СОВ ИЗЪЯВ ПРОШ ЕД ЖЕН', 'ПУКАТЬ', 'сент-соч', 'пукнула', positive
'NID', 'D', 'предик', 'D', positive
'S МН МУЖ РОД ОД', 'ДАНИЛА', 'атриб', 'Данил', positive
'CONJ', 'И', 'сочин', 'и', positive
'S ЕД МУЖ ИМ ОД', 'КИРИЛЛ', 'разъяснит', 'Кирилл', positive
'PR', 'С', 'обст', 'с', positive
'S ЕД МУЖ ТВОР ОД', 'КТО', 'предл', 'кем', positive
'S МН ИМ ОД', 'ВЫ', 'соч-союзн', 'вы', positive
'ADV', 'СЕЙЧАС', 'обст', 'сейчас', positive
'V НЕСОВ ИЗЪЯВ НЕПРОШ МН 2-Л', 'ЖИТЬ', 'сент-соч', 'живете', positive
'ADV', 'ПО-РАЗНОМУ', 'обст', 'По-разному', positive
'CONJ', 'А', 'сочин', 'А', positive
'ADV', 'СЕЙЧАС', 'соч-союзн', 'сейчас', positive
'PART', 'ТО', 'огранич', 'то', positive
'PR', 'С', 'обст', 'с', positive
'S ЕД МУЖ ТВОР ОД', 'КТО', 'предл', 'кем', positive
'S', 'С', 'аппоз', 'С', positive
'S ЕД ЖЕН ТВОР ОД', 'МАМА', '1-компл', 'мамой', positive
'NUM РОД', 'ОК-КОЛИЧ', '1-компл', '-И', positive
'ADV', 'КУДА', 'обст', 'куда', positive
'S ЕД ЖЕН ИМ ОД', 'ОНА', 'предик', 'она', positive
'V НЕСОВ ИЗЪЯВ ПРОШ ЕД ЖЕН', 'СМОТРЕТЬ', 'разъяснит', 'смотрела', positive
'S', 'А', '1-компл', 'А', positive
'S ЕД ЖЕН РОД ОД', 'МАМА', 'атриб', 'мамы', positive
'PART', 'НЕ', 'огранич', 'не', positive
'V НЕСОВ ИЗЪЯВ ПРОШ ЕД СРЕД', 'БЫТЬ', 'релят', 'было', positive
'NID', 'ФЕЕЕЕЕЙЛ', 'предик', 'Фееееейл', positive
'NID', 'D', 'предик', 'D', positive
'PR', 'ЗА', 'атриб', 'за', positive
'S ЕД СРЕД ВИН НЕОД', 'ЧТО', 'предл', 'что', positive
'PR', 'ЗА', 'вспом', 'за', positive
'A ЕД СРЕД ИМ', 'ВЕСЬ', 'fictit', 'все', positive
'S МН ЖЕН РОД ОД', 'ЭММА', '1-компл', 'эмм', positive
'PR', 'ЗА', 'обст', 'за', positive
'A ЕД СРЕД ИМ', 'ЭТОТ', 'разъяснит', 'это', positive
'NID', 'D', 'предл', 'D', positive
'NID', 'C', 'примыкат', 'c', positive
'S ЕД ЖЕН ИМ ОД', 'ЛЕНА', 'разъяснит', 'Лена', positive
'CONJ', 'НО', 'fictit', 'Но', positive
'A ЕД МУЖ ВИН НЕОД', 'ЧЕРНЫЙ', '1-компл', 'черный', positive
'A КР ЕД МУЖ', 'ДОЛЖЕН', 'соч-союзн', 'должен', positive
'V НЕСОВ ИНФ', 'СТОИТЬ', '1-компл', 'стоить', positive
'ADV СРАВ', 'ДЕШЕВО', 'обст', 'дешевле', positive
'S ЕД МУЖ ИМ ОД', 'Я', 'примыкат', 'Я', positive
'S ЕД ЖЕН ИМ ОД', 'ПРОДАВЩИЦА', 'предик', 'Продавщица', positive
'PART', 'НЕ', 'огранич', 'не', positive
'V СОВ ДЕЕПР ПРОШ', 'ПОНИМАТЬ', 'fictit', 'поняв', positive
